Experiment	STML
-5.4647686649999994e-11	1.0	2.8620942e-08	-3.1165595e-08	-5.3911253525e-08	184500000	20.0	777.2690482023092
6.90796235e-12	1.0	2.8620942e-08	-3.1165595e-08	8.762744125e-08	184800000	52.0	777.6902720515963
1.219459225e-11	1.0	2.8620942e-08	-3.1165595e-08	6.9261198e-08	185100000	31.0	778.1114854200274
1.1699849e-11	1.0	2.8620942e-08	-3.1165595e-08	4.533529375e-08	185400000	22.0	778.5326883020346
9.9279647e-12	1.0	2.8620942e-08	-3.1165595e-08	1.7626643875e-08	185700000	29.0	778.9538806920516
9.254781175e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.1616226364999999e-08	186000000	26.0	779.3750625845105
9.2525707e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.099664425e-08	186300000	55.0	779.7962339738451
-5.5968833025e-11	1.0	2.8620942e-08	-3.1165595e-08	-6.202737599999999e-08	186600000	34.0	780.2173948544896
8.46515105e-12	1.0	2.8620942e-08	-3.1165595e-08	8.807595349999999e-08	186900000	45.0	780.6385452208783
1.2239822499999999e-11	1.0	2.8620942e-08	-3.1165595e-08	7.07307725e-08	187200000	23.0	781.0596850674464
1.175599525e-11	1.0	2.8620942e-08	-3.1165595e-08	4.6877235750000005e-08	187500000	43.0	781.4808143886283
9.999769075000001e-12	1.0	2.8620942e-08	-3.1165595e-08	1.92802654e-08	187800000	32.0	781.9019331788613
9.2691267e-12	1.0	2.8620942e-08	-3.1165595e-08	-9.94267175e-09	188100000	34.0	782.32304143258
9.212822575e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.937961575e-08	188400000	38.0	782.7441391442225
9.244610475000002e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.877487025e-08	188700000	47.0	783.1652263082252
-5.71438434e-11	1.0	2.8620942e-08	-3.1165595e-08	8.514749775e-08	189000000	11.0	783.586302919026
1.230403175e-11	1.0	2.8620942e-08	-3.1165595e-08	7.242785575e-08	189300000	41.0	784.0073689710632
1.1924899e-11	1.0	2.8620942e-08	-3.1165595e-08	4.8735421000000004e-08	189600000	29.0	784.4284244587752
1.005314545e-11	1.0	2.8620942e-08	-3.1165595e-08	2.1597955250000002e-08	189900000	15.0	784.8494693766006
9.30361105e-12	1.0	2.8620942e-08	-3.1165595e-08	-7.585578e-09	190200000	23.0	785.2705037189796
9.2365102e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.699910225e-08	190500000	47.0	785.6915274803519
9.2155925e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.640542425000001e-08	190800000	27.0	786.112540655158
-5.737528395e-11	1.0	2.8620942e-08	-3.1165595e-08	7.421029925e-08	191100000	15.0	786.5335432378384
1.23805145e-11	1.0	2.8620942e-08	-3.1165595e-08	7.366628175e-08	191400000	18.0	786.954535222835
1.18697955e-11	1.0	2.8620942e-08	-3.1165595e-08	5.0051716499999994e-08	191700000	14.0	787.3755166045896
1.035063625e-11	1.0	2.8620942e-08	-3.1165595e-08	2.364513225e-08	192000000	56.0	787.7964873775438
9.357910475e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.463289824999999e-09	192300000	37.0	788.2174475361408
9.22969275e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.4868405499999994e-08	192600000	20.0	788.6383970748235
9.230221849999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.427647775e-08	192900000	34.0	789.0593359880361
-5.7568444525e-11	1.0	2.8620942e-08	-3.1165595e-08	5.1757938499999995e-08	193200000	36.0	789.4802642702226
1.2135697e-11	1.0	2.8620942e-08	-3.1165595e-08	7.66140665e-08	193500000	46.0	789.9011819158271
1.1948202250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	5.2995847499999996e-08	193800000	22.0	790.3220889192953
1.0260876125e-11	1.0	2.8620942e-08	-3.1165595e-08	2.6302445e-08	194100000	34.0	790.7429852750721
9.406290849999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.8275199875000004e-09	194400000	29.0	791.1638709776045
9.236556824999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.221481325e-08	194700000	17.0	791.5847460213377
9.2351274e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.1636988e-08	195000000	48.0	792.0056104007193
-5.7437647724999996e-11	1.0	2.8620942e-08	-3.1165595e-08	4.1442421e-08	195300000	21.0	792.4264641101968
1.134359915e-11	1.0	2.8620942e-08	-3.1165595e-08	7.845757974999998e-08	195600000	43.0	792.8473071442178
1.208797325e-11	1.0	2.8620942e-08	-3.1165595e-08	5.4931795e-08	195900000	26.0	793.2681394972304
1.0603793825e-11	1.0	2.8620942e-08	-3.1165595e-08	2.940897325e-08	196200000	11.0	793.688961163684
9.580481299999999e-12	1.0	2.8620942e-08	-3.1165595e-08	4.687837749999997e-10	196500000	44.0	794.1097721380276
9.27126625e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.88776455e-08	196800000	39.0	794.5305724147112
9.192539325e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.827565275e-08	197100000	37.0	794.9513619881843
-5.6676309425e-11	1.0	2.8620942e-08	-3.1165595e-08	3.1204382249999996e-08	197400000	27.0	795.3721408528984
1.0673906775000001e-11	1.0	2.8620942e-08	-3.1165595e-08	7.965778075000001e-08	197700000	38.0	795.7929090033041
1.208964025e-11	1.0	2.8620942e-08	-3.1165595e-08	5.624194875e-08	198000000	26.0	796.2136664338531
1.080600875e-11	1.0	2.8620942e-08	-3.1165595e-08	3.083498075e-08	198300000	63.0	796.6344131389976
9.568541875000001e-12	1.0	2.8620942e-08	-3.1165595e-08	1.9421926499999995e-09	198600000	34.0	797.0551491131902
9.22906285e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.73985865e-08	198900000	33.0	797.475874350884
9.122521775e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.6849868e-08	199200000	53.0	797.8965888465325
-5.6109497100000004e-11	1.0	2.8620942e-08	-3.1165595e-08	8.743485999999997e-09	199500000	40.0	798.3172925945896
9.339521675e-12	1.0	2.8620942e-08	-3.1165595e-08	8.218063224999999e-08	199800000	44.0	798.7379855895098
1.21263765e-11	1.0	2.8620942e-08	-3.1165595e-08	5.9308208250000005e-08	200100000	44.0	799.1586678257479
1.09010605e-11	1.0	2.8620942e-08	-3.1165595e-08	3.444276375e-08	200400000	47.0	799.579339297759
9.5098521e-12	1.0	2.8620942e-08	-3.1165595e-08	5.7285139e-09	200700000	48.0	800
9.255817474999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.3652959000000004e-08	201000000	27.0	800.4206499269266
9.222439e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.307864375e-08	201300000	28.0	800.8412890729951
-6.0048899775e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.8917325000000325e-10	201600000	38.0	801.2619174326641
1.3601834425000002e-11	1.0	2.8620942e-08	-3.1165595e-08	8.334616725000001e-08	201900000	54.0	801.6825350003899
1.212494425e-11	1.0	2.8620942e-08	-3.1165595e-08	6.091781925e-08	202200000	36.0	802.1031417706322
1.10590855e-11	1.0	2.8620942e-08	-3.1165595e-08	3.6320043499999996e-08	202500000	42.0	802.5237377378485
9.671732249999999e-12	1.0	2.8620942e-08	-3.1165595e-08	7.819903874999999e-09	202800000	65.0	802.9443228964988
9.23366245e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.1520496499999998e-08	203100000	48.0	803.364897241042
9.24019345e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.089224775e-08	203400000	34.0	803.7854607659397
-5.4826063150000003e-11	1.0	2.8620942e-08	-3.1165595e-08	-9.899026000000003e-09	203700000	39.0	804.2060134656512
8.38679965e-12	1.0	2.8620942e-08	-3.1165595e-08	8.424037475e-08	204000000	31.0	804.626555334638
1.21368835e-11	1.0	2.8620942e-08	-3.1165595e-08	6.228046524999999e-08	204300000	38.0	805.0470863673617
1.1188489749999998e-11	1.0	2.8620942e-08	-3.1165595e-08	3.793517500000001e-08	204600000	56.0	805.4676065582848
9.740207325e-12	1.0	2.8620942e-08	-3.1165595e-08	9.657890300000001e-09	204900000	49.0	805.8881159018687
9.21773225e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.96560164e-08	205200000	45.0	806.308614392578
9.2021193e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.906292075e-08	205500000	44.0	806.7291020248754
-5.4914925300000004e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.2524749e-08	205800000	39.0	807.1495787932248
7.816768449999999e-12	1.0	2.8620942e-08	-3.1165595e-08	8.55119585e-08	206100000	30.0	807.5700446920905
1.2145838500000001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.44524665e-08	206400000	42.0	807.9904997159382
1.132595525e-11	1.0	2.8620942e-08	-3.1165595e-08	4.01032035e-08	206700000	56.0	808.4109438592328
9.814715825e-12	1.0	2.8620942e-08	-3.1165595e-08	1.1802509795000002e-08	207000000	51.0	808.8313771164402
9.27764005e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.749712245e-08	207300000	61.0	809.251799482027
9.270485e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.6872181e-08	207600000	32.0	809.6722109504602
-5.4061746774999996e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.8931314249999998e-08	207900000	22.0	810.0926115162071
7.31225585e-12	1.0	2.8620942e-08	-3.1165595e-08	8.6041318e-08	208200000	43.0	810.513001173735
1.21368395e-11	1.0	2.8620942e-08	-3.1165595e-08	6.547317175e-08	208500000	28.0	810.9333799175134
1.12861295e-11	1.0	2.8620942e-08	-3.1165595e-08	4.127062175e-08	208800000	38.0	811.35374774201
9.755657925e-12	1.0	2.8620942e-08	-3.1165595e-08	1.3100790575e-08	209100000	51.0	811.7741046416945
9.140516674999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.6228276475e-08	209400000	52.0	812.1944506110365
9.35113595e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.5605521249999995e-08	209700000	32.0	812.6147856445073
-5.3826318649999996e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.963632625e-08	210000000	43.0	813.0351097365763
6.8884071500000005e-12	1.0	2.8620942e-08	-3.1165595e-08	8.672517824999999e-08	210300000	38.0	813.4554228817155
1.2150910749999999e-11	1.0	2.8620942e-08	-3.1165595e-08	6.693447400000001e-08	210600000	61.0	813.8757250743963
1.15550975e-11	1.0	2.8620942e-08	-3.1165595e-08	4.275414e-08	210900000	1304.0	814.2960163090914
9.87466755e-12	1.0	2.8620942e-08	-3.1165595e-08	1.46095461e-08	211200000	2276.0	814.7162965802728
9.251237599999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.463910535e-08	211500000	2723.0	815.1365658824143
9.208078325000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.40267795e-08	211800000	1981.0	815.5568242099894
-5.42984002e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.956274799999999e-08	212100000	3092.0	815.9770715574725
7.033395349999999e-12	1.0	2.8620942e-08	-3.1165595e-08	8.730438425e-08	212400000	1801.0	816.3973079193377
1.2179301499999998e-11	1.0	2.8620942e-08	-3.1165595e-08	6.8370338e-08	212700000	1408.0	816.8175332900604
1.157895675e-11	1.0	2.8620942e-08	-3.1165595e-08	4.4386604749999995e-08	213000000	61.0	817.2377476641161
9.916935e-12	1.0	2.8620942e-08	-3.1165595e-08	1.652083135e-08	213300000	56.0	817.6579510359817
9.2724773e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.271563755e-08	213600000	38.0	818.0781434001328
9.25426685e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.2093485e-08	213900000	52.0	818.4983247510469
-5.463958357500001e-11	1.0	2.8620942e-08	-3.1165595e-08	-5.6829469999999996e-08	214200000	45.0	818.9184950832018
7.44655405e-12	1.0	2.8620942e-08	-3.1165595e-08	8.77541575e-08	214500000	49.0	819.3386543910756
1.2200169000000001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.96513765e-08	214800000	52.0	819.7588026691468
1.1573446500000001e-11	1.0	2.8620942e-08	-3.1165595e-08	4.5793688e-08	215100000	61.0	820.1789399118938
9.945264949999999e-12	1.0	2.8620942e-08	-3.1165595e-08	1.8214070624999998e-08	215400000	9483.0	820.5990661137971
9.341800099999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.1011388169275e-08	215700000	1338.0	821.0191812693369
9.229816775e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.0400404750000004e-08	216000000	66.0	821.4392853729928
9.197058025e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.980438525e-08	216300000	54.0	821.8593784192464
-5.8180882425e-11	1.0	2.8620942e-08	-3.1165595e-08	7.82191485e-08	216600000	60.0	822.2794604025789
1.2370356e-11	1.0	2.8620942e-08	-3.1165595e-08	7.3347646e-08	216900000	64.0	822.6995313174731
1.19171645e-11	1.0	2.8620942e-08	-3.1165595e-08	4.97450145e-08	217200000	59.0	823.1195911584103
1.035128725e-11	1.0	2.8620942e-08	-3.1165595e-08	2.3240785500000002e-08	217500000	52.0	823.5396399198747
9.362600950000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.875197800000001e-09	217800000	40.0	823.9596775963495
9.237412275e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.52694015e-08	218100000	53.0	824.3797041823183
9.23059175e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.46645495e-08	218400000	34.0	824.7997196722661
-5.7453830375000004e-11	1.0	2.8620942e-08	-3.1165595e-08	6.948913325e-08	218700000	48.0	825.2197240606773
1.249880125e-11	1.0	2.8620942e-08	-3.1165595e-08	7.4734384e-08	219000000	55.0	825.6397173420382
1.1974914e-11	1.0	2.8620942e-08	-3.1165595e-08	5.1140069999999996e-08	219300000	40.0	826.0596995108342
1.03637285e-11	1.0	2.8620942e-08	-3.1165595e-08	2.460455825e-08	219600000	51.0	826.4796705615519
9.3743711e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.5138551125e-09	219900000	62.0	826.8996304886786
9.256619125000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.39130575e-08	220200000	53.0	827.3195792867014
9.146219599999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.33411145e-08	220500000	46.0	827.7395169501078
-5.770778457500001e-11	1.0	2.8620942e-08	-3.1165595e-08	5.817091774999999e-08	220800000	45.0	828.1594434733878
1.2447705e-11	1.0	2.8620942e-08	-3.1165595e-08	7.597439675e-08	221100000	63.0	828.5793588510289
1.19720595e-11	1.0	2.8620942e-08	-3.1165595e-08	5.2409590249999993e-08	221400000	39.0	828.9992630775215
1.056222575e-11	1.0	2.8620942e-08	-3.1165595e-08	2.6192092999999997e-08	221700000	36.0	829.4191561473552
9.35030135e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.8734064749999996e-09	222000000	49.0	829.8390380550206
9.24372885e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.22754075e-08	222300000	38.0	830.2589087950086
9.2007671e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.16733375e-08	222600000	48.0	830.6787683618107
-5.7222980725000005e-11	1.0	2.8620942e-08	-3.1165595e-08	3.594005725e-08	222900000	52.0	831.0986167499183
1.1124984025e-11	1.0	2.8620942e-08	-3.1165595e-08	7.88644935e-08	223200000	55.0	831.5184539538253
1.200924325e-11	1.0	2.8620942e-08	-3.1165595e-08	5.535090075e-08	223500000	55.0	831.9382799680238
1.058549325e-11	1.0	2.8620942e-08	-3.1165595e-08	2.9663893000000002e-08	223800000	59.0	832.3580947870073
9.48912845e-12	1.0	2.8620942e-08	-3.1165595e-08	6.913035000000002e-10	224100000	55.0	832.7778984052695
9.24195245e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.8655074e-08	224400000	57.0	833.1976908173056
9.210634225e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.8039013750000005e-08	224700000	63.0	833.6174720176105
-5.618125670000001e-11	1.0	2.8620942e-08	-3.1165595e-08	2.5456966949999996e-08	225000000	44.0	834.0372420006788
9.5884893e-12	1.0	2.8620942e-08	-3.1165595e-08	8.161064175e-08	225300000	57.0	834.4570007610079
1.2104425500000001e-11	1.0	2.8620942e-08	-3.1165595e-08	5.85629365e-08	225600000	62.0	834.876748293093
1.0886763225e-11	1.0	2.8620942e-08	-3.1165595e-08	3.2887254000000003e-08	225900000	42.0	835.2964845914316
9.528417775e-12	1.0	2.8620942e-08	-3.1165595e-08	3.917445505e-09	226200000	60.0	835.7162096505218
9.249473375000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.5427823e-08	226500000	34.0	836.135923464861
9.217929825e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.4836532e-08	226800000	82.0	836.5556260289479
-5.5467962400000003e-11	1.0	2.8620942e-08	-3.1165595e-08	2.304426749999995e-09	227100000	68.0	836.9753173372815
8.86283335e-12	1.0	2.8620942e-08	-3.1165595e-08	8.305333825e-08	227400000	38.0	837.3949973843612
1.213545375e-11	1.0	2.8620942e-08	-3.1165595e-08	6.0509821e-08	227700000	61.0	837.8146661646875
1.0954888750000001e-11	1.0	2.8620942e-08	-3.1165595e-08	3.552965275e-08	228000000	47.0	838.2343236727608
9.604127275e-12	1.0	2.8620942e-08	-3.1165595e-08	6.795805675000001e-09	228300000	38.0	838.6539699030816
9.219856225e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.2551644749999997e-08	228600000	48.0	839.073604850152
9.240479675e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.1940339e-08	228900000	57.0	839.4932285084744
-5.47717087e-11	1.0	2.8620942e-08	-3.1165595e-08	-5.087098000000003e-09	229200000	67.0	839.9128408725505
4.4848906775e-12	1.0	2.8620942e-08	-3.1165595e-08	8.7819526e-08	229500000	197.0	840.3324419368848
1.218938325e-11	1.0	2.8620942e-08	-3.1165595e-08	6.9824411e-08	229800000	25550.0	840.752031695979
1.1718754e-11	1.0	2.8620942e-08	-3.1165595e-08	4.594176175e-08	230100000	5683.0	841.1716101443386
1.0052895725e-11	1.0	2.8620942e-08	-3.1165595e-08	1.8359633475e-08	230400000	59.0	841.591177276468
9.220902675e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.0840109842499999e-08	230700000	58.0	842.010733086872
9.235409325e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.02740615e-08	231000000	43.0	842.4302775700569
9.1943393e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.96983395e-08	231300000	45.0	842.8498107205281
-5.7302373725000004e-11	1.0	2.8620942e-08	-3.1165595e-08	8.807449525e-08	231600000	69.0	843.2693325327926
1.226011325e-11	1.0	2.8620942e-08	-3.1165595e-08	7.161689375000001e-08	231900000	65.0	843.6888430013574
1.18488225e-11	1.0	2.8620942e-08	-3.1165595e-08	4.78882035e-08	232200000	59.0	844.1083421207308
1.0075033849999998e-11	1.0	2.8620942e-08	-3.1165595e-08	2.0743303399999997e-08	232500000	37.0	844.5278298854201
9.2769761e-12	1.0	2.8620942e-08	-3.1165595e-08	-8.440163625e-09	232800000	51.0	844.9473062899352
9.22530695e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.7842092000000005e-08	233100000	61.0	845.3667713287846
9.235957225e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.723885700000001e-08	233400000	70.0	845.7862249964776
-5.774049717499999e-11	1.0	2.8620942e-08	-3.1165595e-08	7.7703823e-08	233700000	40.0	846.2056672875251
1.2405268500000001e-11	1.0	2.8620942e-08	-3.1165595e-08	7.400133475e-08	234000000	56.0	846.6250981964382
1.1861625e-11	1.0	2.8620942e-08	-3.1165595e-08	5.03988525e-08	234300000	52.0	847.044517717727
1.02668648e-11	1.0	2.8620942e-08	-3.1165595e-08	2.396310425e-08	234600000	47.0	847.4639258459046
9.309998525e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.183058374999999e-09	234900000	61.0	847.8833225754827
9.2421268e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.4584531249999995e-08	235200000	73.0	848.3027079009742
9.203326475e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.396905225e-08	235500000	67.0	848.7220818168928
-5.7695937424999995e-11	1.0	2.8620942e-08	-3.1165595e-08	5.4565394e-08	235800000	65.0	849.1414443177514
1.2232806249999999e-11	1.0	2.8620942e-08	-3.1165595e-08	7.6464772e-08	236100000	49.0	849.5607953980659
1.2038336249999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.2904175249999996e-08	236400000	2323.0	849.9801350523499
1.0555921e-11	1.0	2.8620942e-08	-3.1165595e-08	2.6612389750000005e-08	236700000	100.0	850.3994632751196
9.393085050000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.45103005e-09	237000000	54.0	850.8187800608902
9.25340965e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.184186675e-08	237300000	42.0	851.2380854041787
9.2210818e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.12381805e-08	237600000	43.0	851.6573792995023
-5.721953190000001e-11	1.0	2.8620942e-08	-3.1165595e-08	4.4675433000000004e-08	237900000	32.0	852.0766617413777
1.1419724525000001e-11	1.0	2.8620942e-08	-3.1165595e-08	7.812396275e-08	238200000	68.0	852.4959327243239
1.2048937999999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.4574433999999996e-08	238500000	37.0	852.9151922428588
1.0403967425e-11	1.0	2.8620942e-08	-3.1165595e-08	2.8804526500000002e-08	238800000	45.0	853.3344402915014
9.389715375e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.686357249999999e-10	239100000	52.0	853.7536768647717
9.242912675e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.96619645e-08	239400000	22.0	854.1729019571894
9.237771574999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.904173225e-08	239700000	40.0	854.5921155632756
-5.632462822499999e-11	1.0	2.8620942e-08	-3.1165595e-08	3.5209516e-08	240000000	40.0	855.0113176775509
1.078958945e-11	1.0	2.8620942e-08	-3.1165595e-08	7.935321375e-08	240300000	60.0	855.4305082945373
1.208097675e-11	1.0	2.8620942e-08	-3.1165595e-08	5.5905079749999995e-08	240600000	36.0	855.8496874087574
1.0569817825e-11	1.0	2.8620942e-08	-3.1165595e-08	3.0434045e-08	240900000	47.0	856.2688550147328
9.34621825e-12	1.0	2.8620942e-08	-3.1165595e-08	1.4728096250000003e-09	241200000	67.0	856.6880111069875
9.206586875e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.7979255500000002e-08	241500000	47.0	857.1071556800451
9.24034935e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.73925245e-08	241800000	27.0	857.5262887284297
-5.582968457499999e-11	1.0	2.8620942e-08	-3.1165595e-08	1.0852964750000002e-08	242100000	35.0	857.945410246667
9.44357875e-12	1.0	2.8620942e-08	-3.1165595e-08	8.193671525e-08	242400000	48.0	858.3645202292812
1.212181075e-11	1.0	2.8620942e-08	-3.1165595e-08	5.89917625e-08	242700000	34.0	858.7836186707983
1.0762113949999999e-11	1.0	2.8620942e-08	-3.1165595e-08	3.3993958e-08	243000000	30.0	859.2027055657455
9.46774495e-12	1.0	2.8620942e-08	-3.1165595e-08	5.201130175e-09	243300000	28.0	859.6217809086486
9.2419178e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.4183261e-08	243600000	13.0	860.040844694036
9.197187275e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.358679075e-08	243900000	28.0	860.4598969164354
-5.5184100824999995e-11	1.0	2.8620942e-08	-3.1165595e-08	2.5576997499999982e-09	244200000	56.0	860.8789375703744
8.736368425e-12	1.0	2.8620942e-08	-3.1165595e-08	8.3384034e-08	244500000	40.0	861.2979666503836
1.21235515e-11	1.0	2.8620942e-08	-3.1165595e-08	6.097246275e-08	244800000	27.0	861.7169841509913
1.1003701749999999e-11	1.0	2.8620942e-08	-3.1165595e-08	3.6370640499999995e-08	245100000	26.0	862.135990066728
9.6783791e-12	1.0	2.8620942e-08	-3.1165595e-08	7.860089825000001e-09	245400000	42.0	862.554984392124
9.208836375000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.1487259e-08	245700000	29.0	862.9739671217114
9.276881575e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.089095475e-08	246000000	28.0	863.3929382500205
-5.48787932e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.0855530500000002e-08	246300000	54.0	863.8118977715844
7.7034472e-12	1.0	2.8620942e-08	-3.1165595e-08	8.518292224999999e-08	246600000	41.0	864.2308456809352
1.212771225e-11	1.0	2.8620942e-08	-3.1165595e-08	6.38507915e-08	246900000	32.0	864.6497819726067
1.1180371e-11	1.0	2.8620942e-08	-3.1165595e-08	3.9574726249999995e-08	247200000	41.0	865.0687066411323
9.680578725000001e-12	1.0	2.8620942e-08	-3.1165595e-08	1.12935788825e-08	247500000	64.0	865.4876196810461
9.2521073e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.8026641375e-08	247800000	43.0	865.9065210868837
9.22273175e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.743267375e-08	248100000	43.0	866.3254108531801
6.63368335e-11	1.0	2.8620942e-08	-3.1165595e-08	-7.173143875e-08	248400000	48.0	866.7442889744707
1.040605975e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.398756275e-08	248700000	38.0	867.1631554452927
1.0261358499999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.382010375e-08	249000000	53.0	867.5820102601829
1.019547075e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.370480225e-08	249300000	30.0	868.0008534136778
1.014063175e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.361622075e-08	249600000	38.0	868.4196849003164
1.01110875e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.3545264e-08	249900000	34.0	868.8385047146375
1.0090193e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.348561375e-08	250200000	43.0	869.2573128511798
1.00699385e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.343987825000001e-08	250500000	28.0	869.6761093044826
1.0065781e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.339861500000001e-08	250800000	30.0	870.094894069086
1.005895825e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.335865049999999e-08	251100000	28.0	870.5136671395312
1.0051073999999998e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.33215425e-08	251400000	21.0	870.9324285103593
1.005288525e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.32883725e-08	251700000	12.0	871.351178176112
1.004642025e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.325625275000001e-08	252000000	41.0	871.7699161313316
1.0044912250000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.3227847e-08	252300000	29.0	872.1886423705608
1.004228775e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.320107375e-08	252600000	47.0	872.6073568883435
1.0039945499999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.317610849999999e-08	252900000	47.0	873.0260596792228
1.003867475e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.31527515e-08	253200000	59.0	873.4447507377441
1.0037690500000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.313070875e-08	253500000	5717.0	873.8634300584514
1.0036360500000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.311022725e-08	253800000	8914.0	874.2820976358909
1.003496525e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.309040125e-08	254100000	5886.0	874.7007534646083
1.003440075e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.3071563e-08	254400000	4387.0	875.1193975391503
1.0033445e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.305398425e-08	254700000	46.0	875.5380298540639
